x,y,r,maturity,stress,nab1,t_birth,t_death
703,-378,150,1,0,0,1376.4,1395.6
250,-40,150,1,0,0,1346.3,1395.7
409,-274,150,1,0,0,1358.5,1396.5
690,-312,150,0,0,0,1397.1,-1397.2
939,214,150,1,0,0,1375.8,1400.3
802,-116,150,0,0,0,1402.7,-1402.8
67,-373,150,1,0,0,1404.1,1405.9
978,-207,150,0,0,0,1407.8,-1407.9
410,1,150,1,0,0,1387.6,1410.3
471,429,150,1,0,0,1348.3,1410.9
195,-376,150,1,0,0,1403.7,1411.1
136,-303,150,1,0,0,1348.1,1411.3
47,-266,150,1,0,0,1380.8,1412.3
383,167,150,1,0,0,1349.3,1416.2
269,143,150,1,0,0,1402.3,1417.8
627,135,150,0,0,0,1418.9,-1418.9
872,-311,150,1,0,0,1405.5,1422.0
475,-200,150,0,0,0,1424.9,-1425.0
245,-483,150,1,0,0,1380.5,1432.6
133,13,150,1,0,0,1419.1,1432.8
297,236,150,1,0,0,1376.5,1433.7
155,381,150,1,0,0,1428.3,1434.1
271,-53,150,1,0,0,1434.0,1434.3
658,339,150,0,0,0,1435.1,-1435.1
295,125,150,1,0,0,1417.5,1438.0
325,151,150,1,0,0,1390.2,1438.7
920,464,150,1,0,0,1430.9,1441.3
261,185,150,1,0,0,1366.6,1442.6
568,117,150,0,0,0,1443.0,-1443.1
143,242,150,1,0,0,1383.0,1443.1
58,180,150,1,0,0,1414.9,1443.9
272,347,150,1,0,0,1402.9,1444.0
747,410,150,1,0,0,1429.0,1445.0
134,356,150,1,0,0,1414.3,1445.3
129,-213,150,1,0,0,1370.6,1445.8
910,69,150,1,0,0,1359.3,1449.7
668,127,150,0,0,0,1451.3,-1451.3
978,-279,150,0,0,0,1452.4,-1452.5
505,286,150,1,0,0,1411.2,1455.2
327,223,150,1,0,0,1409.9,1459.1
320,-73,150,1,0,0,1416.8,1459.7
279,58,150,1,0,0,1445.5,1459.7
78,-274,150,1,0,0,1451.6,1462.5
901,13,150,1,0,0,1446.9,1464.4
144,345,150,1,0,0,1386.2,1464.7
423,-283,150,0,0,0,1465.1,-1465.1
183,-6,150,1,0,0,1463.0,1465.7
927,60,150,1,0,0,1453.9,1465.7
793,-24,150,0,0,0,1467.3,-1467.3
607,-62,150,1,0,0,1455.0,1467.5
